part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score
No,12,Yes,36,Teacher,4,10,70,18,93,23,93
Yes,4,Yes,11,Athlete,69,41,78,86,41,39,9
No,29,No,13,Architect,79,1,86,37,77,29,68
Yes,21,No,14,Doctor,51,45,91,53,40,62,64
No,15,Yes,13,Athlete,16,10,82,49,92,73,39
No,7,Yes,25,Architect,44,99,80,22,27,59,80
No,8,Yes,39,Doctor,71,59,96,82,51,56,90
Yes,26,Yes,2,Teacher,8,61,99,73,64,84,28
Yes,0,Yes,36,Psychologist,76,73,23,100,21,35,20
Yes,18,No,28,Lawyer,30,0,67,10,51,86,46
No,28,Yes,7,Architect,99,0,88,52,95,93,94
Yes,25,No,17,Architect,73,66,60,33,97,3,73
No,7,Yes,13,Entrepreneur,57,51,82,82,93,13,1
No,17,Yes,31,Writer,51,84,46,28,88,51,65
Yes,11,Yes,7,Marketing Manager,82,55,28,75,10,20,26
No,8,No,1,Lawyer,56,25,31,7,26,78,40
No,25,Yes,18,Marketing Manager,63,88,72,28,40,2,42
No,13,No,2,Writer,72,3,79,85,85,85,89
No,11,Yes,33,Nurse,41,73,21,10,86,60,4
No,18,Yes,7,Doctor,72,12,50,15,36,79,35
No,11,Yes,39,Engineer,19,64,39,0,58,52,75
No,27,Yes,4,Lawyer,96,25,62,6,64,3,77
No,3,No,35,Teacher,60,26,49,97,27,78,85
Yes,15,No,30,Lawyer,1,96,24,73,70,97,39
No,27,Yes,24,Lawyer,72,9,19,17,56,66,54
No,7,No,27,Teacher,50,19,52,51,10,86,76
No,12,Yes,19,Engineer,28,61,36,79,37,70,99
No,16,Yes,0,Doctor,37,56,75,28,65,46,92
No,0,No,1,Lawyer,75,32,76,74,10,15,90
Yes,14,No,31,Software Developer,46,8,10,100,81,79,3
No,26,Yes,10,Architect,6,83,23,17,91,87,51
No,27,No,25,Scientist,38,59,21,52,98,77,96
Yes,10,Yes,1,Lawyer,82,56,87,8,14,15,38
No,16,No,32,Nurse,98,61,97,79,12,29,5
No,20,No,2,Software Developer,32,52,35,29,94,32,1
No,28,No,28,Scientist,96,21,10,30,12,48,54
Yes,2,Yes,13,Chef,72,32,21,40,40,15,26
Yes,24,No,3,Scientist,100,39,7,5,63,6,28
Yes,8,Yes,2,Chef,25,86,86,99,27,57,83
No,25,No,17,Teacher,72,87,27,82,59,28,6
Yes,16,No,2,Psychologist,32,56,23,53,20,35,11
Yes,7,No,30,Architect,24,92,52,79,61,6,55
Yes,24,Yes,28,Athlete,84,88,32,87,32,27,39
No,26,No,25,Engineer,86,36,43,2,7,50,59
No,12,Yes,0,Entrepreneur,29,54,13,76,36,43,73
Yes,12,No,35,Writer,40,55,1,46,50,24,23
Yes,12,No,3,Architect,81,55,41,97,72,57,70
No,25,Yes,20,Entrepreneur,84,21,70,34,35,55,86
Yes,26,Yes,4,Nurse,14,63,57,27,76,71,0
Yes,7,No,24,Teacher,5,46,37,93,85,36,63
No,20,No,38,Entrepreneur,26,17,65,25,74,45,38
Yes,2,No,0,Teacher,46,97,21,16,85,73,14
No,3,Yes,8,Scientist,88,92,52,93,11,82,52
No,10,No,13,Psychologist,99,9,9,50,14,79,61
Yes,24,Yes,40,Doctor,71,23,9,46,39,96,28
Yes,10,Yes,14,Artist,66,88,84,2,11,30,89
No,2,No,32,Artist,61,91,85,19,46,39,46
No,20,Yes,9,Engineer,61,1,24,69,45,21,81
No,24,Yes,7,Lawyer,69,9,56,21,97,98,66
No,6,Yes,36,Psychologist,59,63,13,44,63,18,67
Yes,13,No,11,Doctor,28,87,43,11,86,100,70
Yes,10,Yes,28,Teacher,90,84,58,51,93,49,74
No,26,No,23,Artist,17,42,61,8,66,84,97
Yes,5,Yes,27,Engineer,75,37,2,84,41,58,34
No,25,Yes,40,Scientist,45,62,23,96,36,79,85
Yes,18,Yes,40,Engineer,54,88,87,93,83,74,98
Yes,29,No,1,Teacher,12,91,40,81,91,94,36
No,9,No,14,Engineer,93,66,4,23,26,44,42
Yes,3,Yes,26,Nurse,3,84,3,94,78,30,41
Yes,29,Yes,38,Chef,6,65,4,24,23,59,75
No,10,No,27,Athlete,35,18,87,53,26,57,96
Yes,27,No,14,Chef,51,90,54,15,80,33,0
Yes,14,Yes,27,Architect,13,99,61,96,79,97,99
Yes,17,Yes,5,Marketing Manager,47,54,35,78,51,61,82
Yes,26,Yes,5,Artist,57,0,13,29,90,69,59
Yes,17,No,10,Chef,14,16,95,38,68,89,95
Yes,17,No,18,Engineer,16,22,68,94,61,26,89
No,2,Yes,12,Doctor,15,65,41,18,39,2,92
Yes,20,No,0,Entrepreneur,20,100,39,45,22,1,62
Yes,7,Yes,5,Writer,86,21,79,62,25,87,79
Yes,3,No,4,Writer,25,50,54,67,46,9,36
No,30,No,18,Nurse,75,86,62,68,4,19,49
No,18,Yes,4,Lawyer,11,26,13,59,11,73,67
Yes,1,No,19,Doctor,39,18,26,38,31,98,69
No,25,Yes,30,Doctor,45,80,73,57,56,5,75
Yes,28,Yes,33,Athlete,55,34,71,67,67,46,61
No,17,Yes,36,Teacher,13,85,11,97,93,42,95
No,23,Yes,7,Psychologist,23,38,27,22,75,90,42
No,3,Yes,7,Psychologist,75,15,96,54,56,59,25
No,14,Yes,12,Chef,92,6,61,11,14,51,21
Yes,13,No,17,Marketing Manager,44,30,59,61,64,51,36
No,22,No,27,Psychologist,45,38,90,100,90,31,20
